Id;Name;Shirt;Commentary;Country;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;Attacking Prowess;Ball Control;Dribbling;Low Pass;Lofted Pass;Finishing;Place Kicking;Controlled Spin;Header;Defensive Prowess;Ball Winning;Kicking Power;Speed;Explosive Power;Body Control;Physical Contact;Jump;Goalkeeping;Catching;Clearing;Reflexes;Coverage;Stamina;Weak Foot Usage;Weak Foot Acc.;Form;Injury Resistance;P01;P02;P03;P04;P05;P06;P07;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;Celebration 1;Celebration 2;Drib. Hunching;Drib. Arm Move.;Run. Hunching;Run. Arm Move.;Corner Kicks;Free Kicks;Penalty Kick;Edit_Name;Edit_Basics;Edit_Position;Edit_Positions;Edit_Abilities;Edit_PlayerSkills;Edit_PlayingStyle;Edit_COMPlayingStyles;Edit_Movements;Edit_1;Edit_2;Edit_3;Edit_4;Edit_5;Value12;Value13;Value14;OverallStats
110667;Senne Lammens;LAMMENS;110667;197;193;92;23;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;51;61;56;68;72;51;64;55;73;64;56;83;67;65;61;81;79;86;84;80;88;87;64;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;1;1;1;2;1;1;1;1;1;True;True;False;False;True;True;True;False;False;False;False;False;False;False;0;-1;0;75
101958;Manuel Ugarte;UGARTE;-1;152;182;70;24;False;9;4;0;0;0;0;2;2;0;0;1;0;0;0;0;68;80;80;81;79;60;57;68;68;79;82;70;75;75;68;77;68;40;40;40;40;40;85;2;3;5;3;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;14;0;3;4;3;4;1;16;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;0;-1;0;78
117793;Lisandro Martínez;L. MARTINEZ;108669;144;175;77;27;True;15;1;0;2;1;0;2;1;0;0;0;0;0;0;0;60;83;76;84;86;64;69;72;76;84;85;82;69;81;72;82;87;40;40;40;40;40;87;2;2;6;3;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;True;False;False;False;False;True;55;6;1;5;2;5;1;15;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;3;-1;0;81
101185;Bryan Mbeumo;MBEUMO;122333;50;171;65;26;True;4;10;0;0;0;0;0;0;2;2;1;2;2;2;1;83;83;85;75;81;81;76;76;68;49;52;82;88;93;88;73;68;40;40;40;40;40;85;2;3;5;2;False;False;True;True;False;True;False;True;False;False;False;True;True;False;True;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;110;21;1;2;2;2;4;1;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;0;-1;0;83
47070;Luke Shaw;SHAW;47070;204;185;75;30;True;11;2;0;1;2;0;0;0;1;0;0;0;0;0;0;66;73;75;77;82;54;63;76;63;71;77;68;82;80;78;72;69;40;40;40;40;40;84;1;2;5;1;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;0;0;2;6;3;1;1;1;1;True;True;False;True;True;True;False;False;False;False;False;False;False;False;0;-1;0;77
42669;Casemiro;CASEMIRO;42669;146;185;84;33;False;8;4;0;1;0;0;2;2;0;0;0;0;0;0;0;65;77;63;81;80;56;69;68;80;84;88;89;70;65;65;91;87;40;40;40;40;40;91;1;3;6;2;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;False;False;True;21;35;1;5;3;3;5;15;4;True;True;False;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;78
119889;Noussair Mazraoui;N. MAZRAOUI;119889;76;183;74;27;False;11;3;0;0;2;2;1;2;1;1;1;1;0;0;0;65;80;85;82;80;65;67;81;64;73;76;70;85;86;72;61;75;40;40;40;40;40;82;3;3;5;1;True;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;True;False;False;False;38;38;1;2;1;2;2;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;1;-1;0;80
60512;Bruno Fernandes;B. FERNANDES;35092;228;179;69;30;False;14;8;0;0;0;0;0;2;1;1;2;1;2;1;0;85;90;81;94;93;79;85;86;60;58;58;89;76;77;76;67;60;40;40;40;40;40;92;3;3;5;3;False;True;False;True;True;False;True;False;False;True;False;False;True;False;True;False;False;True;False;True;True;True;True;False;True;False;False;False;False;False;True;False;False;False;False;123;16;1;4;1;1;1;1;1;True;True;False;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;87
108695;Amad Diallo;AMAD;108695;56;173;72;23;True;4;10;0;0;0;0;0;0;0;2;1;1;2;1;1;74;84;88;74;70;75;69;78;57;48;50;74;88;93;89;57;67;40;40;40;40;40;80;2;3;5;2;True;True;True;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;80;80;2;2;3;1;2;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;5;-1;0;79
118096;Mason Mount;MOUNT;118096;204;181;74;26;False;6;5;0;0;0;0;0;2;1;1;2;1;1;1;0;75;85;81;76;81;76;73;84;52;51;51;79;76;79;86;63;58;40;40;40;40;40;90;2;4;5;3;True;True;False;False;True;False;False;False;False;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;21;41;3;5;3;4;4;4;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;4;-1;0;80
40581;Chido Obi;OBI;40581;203;188;68;17;False;1;12;0;0;0;0;0;0;0;0;0;0;0;1;2;77;71;68;63;60;76;65;66;68;51;54;71;75;71;65;76;63;40;40;40;40;40;76;3;3;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;12;12;1;2;1;1;1;11;1;True;True;False;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;70
102761;Altay Bayındır;BAYINDIR;102761;190;198;89;27;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;58;58;65;66;40;51;48;52;53;51;87;59;61;67;83;85;81;78;81;86;85;58;2;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;11;11;1;3;1;2;1;1;1;True;True;True;True;True;True;True;False;False;False;False;False;False;False;0;-1;0;73
109329;Harry Maguire;MAGUIRE;109329;204;194;100;32;False;15;1;0;2;0;0;0;0;0;0;0;0;0;0;0;56;71;71;72;74;53;58;64;90;85;86;81;69;61;57;97;84;40;40;40;40;40;79;2;3;4;3;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;True;False;True;3;3;1;3;1;3;1;1;1;True;True;False;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;83
114195;Patrick Dorgu;DORGU;114195;203;175;64;20;True;11;2;0;0;2;0;0;0;2;0;0;1;0;0;0;65;72;78;72;69;61;59;63;61;64;71;71;85;82;72;66;76;40;40;40;40;40;82;2;2;5;2;False;True;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1;1;1;3;2;1;1;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;75
113573;Matheus Cunha;MATEUS CUNHA;113573;146;184;75;26;False;14;11;0;0;0;0;0;1;1;1;2;2;2;2;2;79;84;85;79;73;80;69;79;72;53;58;89;89;83;76;73;77;40;40;40;40;40;87;3;2;6;1;True;True;True;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;13;13;1;3;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;0;-1;0;81
118136;Diogo Dalot;DIOGO DALOT;38644;228;184;75;26;False;11;3;0;0;2;2;0;0;0;2;0;0;0;0;0;66;76;79;74;78;60;58;82;70;67;68;76;88;84;68;70;87;40;40;40;40;40;89;3;3;5;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;7;0;2;2;2;6;3;1;1;True;True;False;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;80
118195;Joshua Zirkzee;ZIRKZEE;118195;224;193;87;24;False;14;12;0;0;0;0;0;0;0;0;0;0;0;1;2;80;81;77;73;64;80;69;64;72;51;57;80;82;78;69;84;68;40;40;40;40;40;77;4;3;5;1;True;True;False;True;False;False;True;False;False;True;False;True;False;False;False;False;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;6;25;3;3;3;5;5;1;1;True;True;False;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;77
101355;Tom Heaton;HEATON;101355;204;188;85;39;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;52;49;52;58;41;46;44;41;44;44;77;62;62;57;74;72;76;76;78;79;79;57;2;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;61;61;1;4;1;1;1;1;1;True;True;False;False;True;False;True;False;False;False;False;False;False;False;0;-1;0;66
107553;Kobbie Mainoo;MAINOO;107553;204;175;65;20;False;7;5;0;0;0;0;2;2;0;0;1;0;0;0;0;65;78;79;78;73;64;63;71;61;74;73;73;72;77;84;72;75;40;40;40;40;40;83;3;3;5;2;False;True;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;True;11;0;1;3;3;8;1;10;1;True;True;False;True;True;True;True;True;True;False;False;False;False;False;2;-1;0;76
111989;Leny Yoro;YORO;111989;208;190;73;19;False;15;1;0;2;0;0;1;0;0;0;0;0;0;0;0;59;73;67;77;74;56;57;61;84;85;86;64;81;76;63;85;83;40;40;40;40;40;77;2;2;5;3;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;3;2;1;1;8;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;82
114105;Matthijs de Ligt;DE LIGT;114105;224;188;89;26;False;15;1;0;2;0;0;1;0;0;0;0;0;0;0;0;61;71;66;78;77;57;65;66;86;90;86;83;73;59;59;87;86;40;40;40;40;40;76;3;3;5;1;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;True;False;True;97;1;2;3;1;6;3;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;83
110803;Ayden Heaven;HEAVEN;110803;204;189;77;18;True;15;1;0;2;1;0;0;0;0;0;0;0;0;0;0;57;60;60;62;64;55;53;63;73;77;76;72;74;78;65;79;70;40;40;40;40;40;81;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1;1;1;2;1;1;1;1;1;True;True;False;True;True;False;True;False;True;False;False;False;False;False;0;-1;0;71
118038;Tyrell Malacia;MALACIA;118038;224;169;67;26;True;11;2;0;0;2;1;0;0;1;0;0;0;0;0;0;59;73;74;73;69;57;61;66;50;63;71;66;82;80;87;61;75;40;40;40;40;40;86;2;2;6;3;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;True;65;0;1;2;1;5;3;1;1;True;True;False;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;74
57939;Diego León;LEON;58327;150;177;82;18;True;11;2;0;0;2;0;0;0;1;0;0;0;0;0;0;56;70;65;66;74;57;62;67;54;68;69;65;79;77;68;58;65;40;40;40;40;40;65;2;2;5;2;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;7;3;1;3;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;0;-1;0;67
107590;Benjamin Šeško;SESKO;107590;235;195;86;22;False;1;12;0;0;0;0;0;0;0;0;0;0;0;1;2;83;78;74;69;60;86;63;67;81;51;54;95;88;80;63;85;81;40;40;40;40;40;78;3;4;6;2;True;False;True;False;False;False;True;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;46;46;1;2;1;2;1;2;2;True;True;False;False;True;True;True;True;False;False;False;False;False;False;1;-1;0;81
108419;Tyler Fredricson;FREDRICSON;108419;204;184;70;20;False;9;1;0;2;0;0;0;0;0;0;0;0;0;0;0;51;60;57;62;67;54;52;57;68;74;77;71;69;72;58;79;69;40;40;40;40;40;79;3;3;5;2;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;0;0;1;2;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;68
